url,brewery,name
https://www.ratebeer.com/beer/little-ox-goldilox/497692/,LITTLE OX,Goldilox
https://www.ratebeer.com/beer/little-ox-oddbod/466954/,LITTLE OX,Oddbod
https://www.ratebeer.com/beer/little-ox-wipeout/466953/,LITTLE OX,Wipeout
https://www.ratebeer.com/beer/little-valley-moor-ale/56771/,LITTLE VALLEY,Moor Ale
https://www.ratebeer.com/beer/loddon-bamboozle/27424/,LODDON,Bamboozle
,LONG MAN,Colossus
https://www.ratebeer.com/beer/lyme-regis-lyme-gold-prev-town-mill/135309/,LYME REGIS,Lyme Gold
https://www.ratebeer.com/beer/lyme-regis-tempest/489366/,LYME REGIS,Tempest
https://www.ratebeer.com/beer/lytham-summer-ale/130209/,LYTHAM,Summer Ale
https://www.ratebeer.com/beer/lytham-golden-mild/526125/,LYTHAM,Golden Mild
https://www.ratebeer.com/beer/lytham-stout/118537/,LYTHAM,Lytham Stout
,MARSTONS,Banks Mild
https://www.ratebeer.com/beer/marstons-old-empire-bottle/24312/,MARSTONS,Old Empire
https://www.ratebeer.com/beer/mauldons-blackberry-porter/141138/,MAULDONS,Blackberry Porter
https://www.ratebeer.com/beer/milestone-raspberry-wheat-beer/73291/,MILESTONE,Raspberry Wheat Beer
https://www.ratebeer.com/beer/millis-curiously-dark-mild/458801/,MILLIS,Curiously Dark Mild
https://www.ratebeer.com/beer/moorhouses-blond-witch-cask/25933/,MOORHOUSE,Blond Witch
https://www.ratebeer.com/beer/moorhouses-witch-hunt/94723/1/2/,MOORHOUSE,Witch Hunt
https://www.ratebeer.com/beer/naylors-velvet/172908/,NAYLORS,Velvet Mild
https://www.ratebeer.com/beer/nelson-pieces-of-eight/64073/,NELSON,Pieces of Eight
,NELSON,Core Commander
https://www.ratebeer.com/beer/nelson-friggin-in-the-riggin/1223/7/1/,NELSON,Friggin in the Riggin
https://www.ratebeer.com/beer/lord-nelson-nelsons-blood/10439/,NELSON,Nelson's Blood
https://www.ratebeer.com/beer/nethergate-old-growler-cask/54883/,NETHERGATE,Old Growler
